date,satFinal,snd,tempD,rh,sw,lwin,ws,Pa,tempS,sdn,emi,z,albedo
2003-02-17,-5.251989678,0.0,-18.71926755,30.77261448,238.9752604,168.6158263,2.048101507,57191.9632,-1.998277873,0,0.92,0.001,0.17
2003-02-18,-2.111093849,0.0,-14.2568445,37.99308538,235.5742188,170.5348854,2.460163742,57256.24695,-0.720987529,0,0.92,0.001,0.17
2003-02-19,-1.609930396,0.0,-13.39607263,37.43426657,235.0169271,183.2871821,4.435195118,56999.66431,-0.192716807,0,0.92,0.001,0.17
2003-02-20,-8.120458722,0.0,-17.59384868,42.6575923,222.6692708,148.4299438,7.071123779,56689.88113,-4.513448834,0,0.92,0.001,0.17
2003-02-21,-10.83451283,0.0,-18.88407043,46.67782402,239.0481771,143.7582336,5.180074841,56890.31296,-5.309293866,0,0.92,0.001,0.17
2003-02-22,-6.774160743,0.0,-18.3005245,36.04573011,250.9348958,158.95165,2.648945361,57048.08578,-4.713739514,0,0.92,0.001,0.17
2003-02-23,-5.858679175,0.0,-17.3469715,35.54561043,251.3736979,165.0707925,3.317083478,57002.13318,-2.460962415,0,0.92,0.001,0.17
2003-02-24,-4.746244758,0.0,-18.71769325,28.10392618,253.8125,153.7719263,4.377932489,56911.27167,-1.818678141,0,0.92,0.001,0.17
2003-02-25,-6.309625983,0.0,-18.05815788,34.61192799,227.7044271,166.0994154,3.576509416,56789.3486,-2.431524396,0,0.92,0.001,0.17
2003-02-26,-6.849821448,0.0,-17.1056794,39.33589983,248.9648438,166.2901875,3.139306933,56824.366,-3.061392069,0,0.92,0.001,0.17
2003-02-27,-6.092420936,0.0,-15.80262758,41.3505764,256.921875,150.6791279,4.773229241,57134.1362,-3.305444837,0,0.92,0.001,0.17
2003-02-28,-3.931417771,0.0,-17.40796983,32.0126338,259.3411458,165.543925,3.561022967,57122.20993,-0.459978342,0,0.92,0.001,0.17
2003-03-01,-1.647093236,0.0,-16.8822,26.58923197,264.7539063,161.8687317,3.423025623,57127.87704,0.122464895,0,0.92,0.001,0.17
2003-03-02,0.521623164,0.0,-16.60508638,23.99307728,266.2708333,169.9851929,3.941696882,57021.39282,0.804830313,0,0.92,0.001,0.17
2003-03-03,1.801160365,0.0,-17.30358125,20.93202877,267.2994792,173.2195275,4.932599247,56719.01855,1.56785357,0,0.92,0.001,0.17
2003-03-04,0.617421627,0.0,-17.50685025,20.93375587,275.0794271,147.7041488,6.217139065,56212.9982,0.642877221,0,0.92,0.001,0.17
2003-03-05,-5.221945137,0.0,-23.71778675,17.90538311,278.0234375,128.1390284,7.248147964,56503.76434,-3.363161206,0,0.92,0.001,0.17
2003-03-06,-4.878206565,0.0,-25.5996525,15.02693462,281.1393229,134.4924695,5.844691977,56580.17197,-2.499124646,0,0.92,0.001,0.17
2003-03-07,-5.620573372,0.0,-22.217504,21.41037416,279.8736979,139.0237192,4.383044392,56527.82745,-3.304426312,0,0.92,0.001,0.17
2003-03-08,-9.322904706,0.0,-21.064116,33.28738594,270.5638021,137.1121621,6.594886303,56843.46085,-5.754488111,0,0.92,0.001,0.17
2003-03-09,-6.944124579,0.0,-21.86795575,26.84009027,287.5130208,159.2940117,3.380189881,57146.54312,-2.64524281,0,0.92,0.001,0.17
2003-03-10,-3.561373204,0.0,-14.81894338,37.50487423,268.5507813,179.4388975,3.925613523,56859.27811,-0.509191751,0,0.92,0.001,0.17
2003-03-11,-5.841902256,0.0,-13.00302535,53.36763287,247.2265625,167.0458142,4.464558363,56817.50488,-2.13730073,0,0.92,0.001,0.17
2003-03-12,-4.431700058,0.0,-16.263238,35.22596025,275.7519529,193.8019392,2.649684876,56957.25327,-0.914980143,0,0.92,0.001,0.17
2003-03-13,-5.185720921,0.0,-16.26775375,37.7518549,272.7265625,156.8501425,5.466588736,57027.39792,-0.19915998,0,0.92,0.001,0.17
2003-03-14,-3.906576455,0.0,-16.25887993,33.71593142,288.9817708,158.6333454,3.95798564,57072.68295,-0.08310914,0,0.92,0.001,0.17
2003-03-15,-0.384962499,0.0,-16.44674,26.10128021,288.96875,179.6785746,4.367248118,56891.05606,1.910989434,0,0.92,0.001,0.17
2003-03-16,-2.374250829,0.0,-12.0397772,45.39685249,281.6210938,175.0745621,3.08593455,56996.55991,1.370847374,0,0.92,0.001,0.17
2003-03-17,-2.190969892,0.0,-14.85503263,34.32508278,288.109375,164.9196883,3.23895821,57161.62033,0.180757195,0,0.92,0.001,0.17
2003-03-18,-4.290087044,0.0,-17.65581268,31.22733688,291.9882813,170.6622438,2.453665078,57225.30212,0.79327932,0,0.92,0.001,0.17
2003-03-19,-3.655359579,0.0,-18.83895875,26.25489998,302.78125,170.5397246,2.836643875,57180.1857,0.523408562,0,0.92,0.001,0.17
2003-03-20,-3.883551061,0.0,-11.54004405,52.40064716,251.6223958,188.9150738,3.821316198,56889.11209,0.319390923,0,0.92,0.001,0.17
2003-03-21,-6.368189096,0.0,-17.2651602,42.39559603,296.0885417,151.7390146,4.340495288,57364.72168,-0.168703407,0,0.92,0.001,0.17
