satFinal,snd,tempD,rh,sw,lwin,ws,Pa,tempS,sdn,emi,z,albedo,date
-6.518366234,0.0,-8.313978484,0.872469174,247.2986419,246.3121093,2.616744111,102305.6609,,0,0.92,0.001,0.17,2000/5/17
-4.576823728,0.0,-6.157204887,0.888234166,255.539364,245.8206825,4.490850637,101693.0891,,0,0.92,0.001,0.17,2000/5/18
-2.827658282,0.0,-4.180420802,0.904940863,257.317336,251.1000731,3.966736585,100781.4708,,0,0.92,0.001,0.17,2000/5/19
-1.929364037,0.0,-3.099885746,0.918269011,254.1027942,259.6661379,2.479083105,100119.9928,,0,0.92,0.001,0.17,2000/5/20
-1.779102519,0.0,-2.783036299,0.930090984,236.6811347,282.6111596,2.202417091,99802.41809,,0,0.92,0.001,0.17,2000/5/21
-0.237162447,0.0,-1.404663125,0.920252547,236.9639567,287.6376537,2.732448267,99280.92743,,0,0.92,0.001,0.17,2000/5/22
1.296957615,0.0,0.291469662,0.931715465,241.6226532,286.7969728,3.019535418,99261.82071,,0,0.92,0.001,0.17,2000/5/23
3.16606731,0.0,2.061668689,0.924672947,214.6270201,296.595671,3.703141449,98833.30439,,0,0.92,0.001,0.17,2000/5/24
5.887258338,0.0,3.355413199,0.838744587,195.2078353,294.9077431,5.11745822,99044.65272,,0,0.92,0.001,0.17,2000/5/25
3.507920603,0.0,0.957333034,0.834784328,247.4691518,274.659098,5.483696962,99995.25571,,0,0.92,0.001,0.17,2000/5/26
0.299441186,0.0,-1.911804269,0.852137878,258.602767,265.4440307,5.921396756,100768.9726,,0,0.92,0.001,0.17,2000/5/27
-0.908132911,0.0,-3.519790114,0.826019491,256.1593585,265.9821788,6.36917269,100979.0588,,0,0.92,0.001,0.17,2000/5/28
1.726452181,0.0,-1.123957671,0.815170888,248.3247878,276.0286812,6.176895574,100499.7431,,0,0.92,0.001,0.17,2000/5/29
3.912076674,0.0,1.64429019,0.852032788,196.0055104,298.5448462,4.364712804,100292.1636,,0,0.92,0.001,0.17,2000/5/30
2.631252014,0.0,-0.399260127,0.80545803,248.5036887,273.6188844,5.819559876,100274.9325,,0,0.92,0.001,0.17,2000/5/31
3.063784455,0.0,0.550321289,0.837436603,261.049787,273.2423991,4.499708979,100486.4561,,0,0.92,0.001,0.17,2000/6/1
4.547943575,0.0,2.378321594,0.864392215,273.9118649,280.1903474,2.885413977,100367.9594,,0,0.92,0.001,0.17,2000/6/2
2.766794169,0.0,0.952704823,0.879996133,191.0126925,305.6968702,3.60442665,100581.1658,,0,0.92,0.001,0.17,2000/6/3
6.157365635,0.0,3.477062252,0.83088013,211.3474058,303.1086295,3.43979483,100349.7642,,0,0.92,0.001,0.17,2000/6/4
5.002047093,0.0,2.748652978,0.857937584,238.9645584,303.2680501,4.221452502,100274.7747,,0,0.92,0.001,0.17,2000/6/5
2.248842504,0.0,-0.125936835,0.844364136,242.1428942,291.8694733,5.391578091,100236.3159,,0,0.92,0.001,0.17,2000/6/6
9.111626976,0.0,6.894181812,0.862127721,211.7621746,316.0908959,4.261607031,98660.83559,,0,0.92,0.001,0.17,2000/6/7
8.627312481,0.0,6.801797761,0.883056628,198.1018652,329.5668904,5.88980023,98422.07175,,0,0.92,0.001,0.17,2000/6/8
2.423707456,0.0,-0.077836477,0.836386488,227.474182,307.5308866,4.349582358,99351.23664,,0,0.92,0.001,0.17,2000/6/9
0.149105186,0.0,-1.057629864,0.917678341,107.5503306,311.1459107,6.064915845,99411.08098,,0,0.92,0.001,0.17,2000/6/10
-0.072614261,0.0,-1.721058063,0.887112966,138.36871,294.4325147,4.827425202,99802.04998,,0,0.92,0.001,0.17,2000/6/11
2.955215784,0.0,0.343276016,0.831649646,192.0346606,287.1915702,5.829177732,99544.91564,,0,0.92,0.001,0.17,2000/6/12
4.845408517,0.0,0.590597747,0.748159221,221.0027044,302.9368399,4.268188187,98926.9273,,0,0.92,0.001,0.17,2000/6/13
3.186563427,0.0,1.814098799,0.907728256,127.1967336,319.0848389,4.818163404,98560.88468,,0,0.92,0.001,0.17,2000/6/14
2.8083928,0.0,0.044046504,0.824231641,220.392801,299.8246372,4.144301602,99058.15012,,0,0.92,0.001,0.17,2000/6/15
3.572476262,0.0,-0.395203355,0.754923789,243.7126569,285.4006788,4.237537969,99996.32497,,0,0.92,0.001,0.17,2000/6/16
8.638263438,0.0,7.661304966,0.936761769,87.26140973,341.3578686,4.392833856,99187.76027,,0,0.92,0.001,0.17,2000/6/17
4.427798828,0.0,3.393222861,0.929788492,87.13820515,330.161597,3.952982186,99189.39048,,0,0.92,0.001,0.17,2000/6/18
5.237179479,0.0,4.180266199,0.929225237,91.06513842,330.4118318,6.40905235,98139.41504,,0,0.92,0.001,0.17,2000/6/19
2.206930799,0.0,0.682744243,0.896970372,101.1857315,314.1557507,5.982220471,99434.53492,,0,0.92,0.001,0.17,2000/6/20
3.10524967,0.0,0.098400343,0.810487266,192.7202422,303.9368394,3.490462204,99854.04129,,0,0.92,0.001,0.17,2000/6/21
3.752703604,0.0,0.886175134,0.817383749,233.0626688,296.0344971,3.303589489,99212.3536,,0,0.92,0.001,0.17,2000/6/22
3.967302266,0.0,2.459464338,0.901527741,126.021434,319.4689992,5.644844184,98036.16866,,0,0.92,0.001,0.17,2000/6/23
3.836276731,0.0,0.381996039,0.784553116,198.0780081,300.2411649,4.64121526,98826.06487,,0,0.92,0.001,0.17,2000/6/24
6.749283088,0.0,3.168864799,0.782760162,217.013926,306.6170433,4.654515882,98872.51698,,0,0.92,0.001,0.17,2000/6/25
7.065917702,0.0,4.433674672,0.835146124,128.8202478,324.0267273,5.826898315,98260.08535,,0,0.92,0.001,0.17,2000/6/26
7.173821246,0.0,2.792749601,0.746957215,268.0445241,296.7288803,4.731854608,98699.06655,,0,0.92,0.001,0.17,2000/6/27
6.692505969,0.0,3.016427199,0.777894415,228.1343674,306.8745995,3.612246244,99205.92042,,0,0.92,0.001,0.17,2000/6/28
2.144977826,0.0,1.14251257,0.931035077,83.46197563,305.1823352,6.773013731,99189.72353,,0,0.92,0.001,0.17,2000/6/29
7.253596368,0.0,3.897106224,0.799659948,249.704024,303.3084217,3.724766418,99846.43366,,0,0.92,0.001,0.17,2000/6/30
8.467849661,0.0,5.797363453,0.836827527,260.1091702,307.1003197,3.829429209,99511.55777,,0,0.92,0.001,0.17,2000/7/1
10.5673911,0.0,8.762876834,0.888544296,185.5279319,336.3549258,3.871070043,98974.65903,,0,0.92,0.001,0.17,2000/7/2
9.447903709,0.0,7.933867897,0.906198761,158.7453646,335.1577836,3.162818867,98872.04369,,0,0.92,0.001,0.17,2000/7/3
4.300904319,0.0,2.559952333,0.885270328,111.1580265,330.4491606,4.003643764,100082.7259,,0,0.92,0.001,0.17,2000/7/4
2.583453372,0.0,1.244109212,0.908901111,83.682759,321.6332724,3.723838021,100423.7019,,0,0.92,0.001,0.17,2000/7/5
4.858001126,0.0,2.685914738,0.859613228,135.9594955,328.49236,3.10259083,100690.933,,0,0.92,0.001,0.17,2000/7/6
7.064895695,0.0,4.179107737,0.821148406,177.7850939,326.4658262,3.884345329,100485.4044,,0,0.92,0.001,0.17,2000/7/7
7.517945592,0.0,6.006920952,0.905962932,104.1686705,337.501164,5.858730847,99551.52411,,0,0.92,0.001,0.17,2000/7/8
4.714104096,0.0,3.003391855,0.887953713,146.8146389,324.0157762,5.707579425,100401.1244,,0,0.92,0.001,0.17,2000/7/9
3.228111637,0.0,1.069602329,0.858663592,153.8014195,320.8900125,6.062423673,100922.3346,,0,0.92,0.001,0.17,2000/7/10
3.362715133,0.0,2.318252274,0.929348775,65.78144874,324.6045971,5.363029802,100220.6098,,0,0.92,0.001,0.17,2000/7/11
5.208922691,0.0,3.690465213,0.90177184,110.8869,328.8359291,3.756227795,99882.99936,,0,0.92,0.001,0.17,2000/7/12
5.220692741,0.0,3.417263519,0.881921816,81.78517007,331.2813542,3.62969127,99981.67064,,0,0.92,0.001,0.17,2000/7/13
8.863187318,0.0,6.768839067,0.870195763,204.3900391,330.7173698,2.444024451,100234.7908,,0,0.92,0.001,0.17,2000/7/14
9.004453107,0.0,7.256524865,0.890543511,174.9175651,338.7466934,3.554158797,100207.4279,,0,0.92,0.001,0.17,2000/7/15
8.881231079,0.0,7.180915967,0.892000422,176.0322045,337.8218568,3.116328826,100166.4624,,0,0.92,0.001,0.17,2000/7/16
