date,QE,QH,RTS0,Lstar,RA
2000-09-07,25.4296922386391,22.7108349949112,3.432156863808075,62.0040232415817,73.4422787038530
2000-09-08,23.7327344993876,24.4986806340548,4.216707415952101,42.2164410886730,81.8525312172207
2000-09-09,23.7395764711367,20.3443015471366,4.865121653722497,31.2982879356614,95.8873847413934
2000-09-10,30.6382834043755,15.1286343077172,3.970574926339566,257.557426907629,51.2535235481890
2000-09-11,25.3519111317894,11.7840633390260,2.156142341004852,631.315328599111,41.3804301929871
2000-09-12,23.9081872249588,21.7632129554750,2.453667513735752,73.6072191183867,70.8723374556100
2000-09-13,20.5541201892218,21.9673635455870,2.3021773122572426,27.3781916611468,98.6265557751873
2000-09-14,15.6682067671991,13.1466813089460,1.4680055764646909,10.8308635877026,157.769736588899
2000-09-15,22.1157281432183,20.1508306797787,2.4166489730852163,17.7486677132457,113.436389875785
2000-09-16,22.3768246717933,12.9692500643168,0.030437204820088937,89.0782007458921,76.9752360483743
2000-09-17,23.7434410494454,6.42233976769603,0.323288267801388,665.524793633094,48.5260274074394
2000-09-18,24.5073875968611,8.37746817527568,0.9358663001269747,409.068490513143,52.9940913841266
2000-09-19,22.9963317170586,14.4626145829652,1.3693228495570793,163.700141358102,61.4799384213193
2000-09-20,12.5421596819347,11.2427498217562,1.8672536899990178,38.5345852636241,109.411912962939
2000-09-21,17.8187970327601,9.13655802782341,1.9491660633246397,64.0017797861581,96.9960067121940
2000-09-22,12.3333664994467,11.2499222478832,2.567921235591996,62.7071319910175,92.6584270982500
2000-09-23,12.8846076349306,14.7299821412134,3.07582357581407,50.8941254014567,91.1889699129908
2000-09-24,16.3721369983117,14.9868470331148,1.0784947785961663,347.007349478635,47.5557462686223
2000-09-25,14.0842122755146,7.55548467799417,-2.6781260835098237,321.565516325417,60.7078672601046
2000-09-26,13.9237886396177,16.1802811491689,0.9019305581620642,19.8424858923834,121.633432949970
2000-09-27,11.6244564015822,9.13402958906318,-0.21376995096829887,228.039851479055,64.0826128319322
2000-09-28,14.3096706987679,6.58262243426634,-1.1989872432147308,614.853437688848,51.0690884208254
2000-09-29,11.2415597735404,-0.383001916760804,-0.9026644833323303,10785.7420947854,53.7711941340510
2000-09-30,14.6118570902345,1.90209470413265,1.4287530287041932,2698.58816728921,42.8265674618935
2000-10-01,9.48034163076221,3.01625694757786,-0.6904079445470757,1537.57642563706,47.7308795719573
2000-10-02,10.4091970435340,5.15854932971251,-4.28897575722948,721.698730321112,52.5755511210988
2000-10-03,9.62664258486042,-0.331502271479621,-6.577402839819683,29468.1840289449,41.3200310735200
2000-10-04,9.08624387940390,0.394222583962801,-5.4898787327213086,4746.21517696061,50.8961695907552
2000-10-05,6.67691299991113,8.61348518919203,-6.086424018856803,52.4235270495287,109.238808217355
2000-10-06,10.1526403063812,11.8584898705485,-3.5016629571925364,388.402000235216,50.0517226541839
2000-10-07,5.87919212113694,-12.5713853008838,-4.551396092688151,-1365.13781643528,36.1238757301149
2000-10-08,1.07615799007079,-3.99718411731510,-2.5256921696270638,-93.0054218776277,(122.53185155840814+0j)
2000-10-09,5.50562952605856,-12.1381967933266,-4.293646783005556,-1267.34355697492,(35.073929791888894+0j)
2000-10-10,3.75378847988281,-13.8573524972498,-6.038798585976565,-474.151646345829,(47.04750842622341+0j)
2000-10-11,2.74165547561326,-4.17716230155202,-2.9928749644035975,-567.788216124894,(66.26499780776004+0j)
2000-10-12,2.65894174148698,-21.8851466534416,-11.575204967683874,-157.316667338854,(58.16991821067779+0j)
